text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Chicken Caesar Wrap,Chicken Caesar Wrap,Ingredients:,Ingredients:,-786.25,0.0,1,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Ingredients:,Ingredients:,1 whole wheat tortilla,1 whole wheat tortilla,3146.0,36.0,0,0,0,12.0,12.0,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
1 whole wheat tortilla,1 whole wheat tortilla,"1 cup cooked chicken breast, sliced","1 cup cooked chicken breast, sliced",-1.75,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
"1 cup cooked chicken breast, sliced","1 cup cooked chicken breast, sliced","1 cup romaine lettuce, chopped","1 cup romaine lettuce, chopped",0.5,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
"1 cup romaine lettuce, chopped","1 cup romaine lettuce, chopped",2 tablespoons Caesar dressing,2 tablespoons Caesar dressing,0.5,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
2 tablespoons Caesar dressing,2 tablespoons Caesar dressing,2 tablespoons grated Parmesan cheese,2 tablespoons grated Parmesan cheese,0.5,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
2 tablespoons grated Parmesan cheese,2 tablespoons grated Parmesan cheese,Optional: croutons for extra crunch,Optional: croutons for extra crunch,0.5,0.0,1,0,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
Optional: croutons for extra crunch,Optional: croutons for extra crunch,Instructions:,Instructions: l,-1966.0,-36.0,0,0,0,12.0,12.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Instructions:,Instructions: l,Lay the tortilla flat and spread the Caesar dressing evenly.,Lay the tortilla flat and spread the Caesar dressing evenly.,1178.5,36.0,0,0,1,12.0,12.0,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Lay the tortilla flat and spread the Caesar dressing evenly.,Lay the tortilla flat and spread the Caesar dressing evenly.,"Add the chicken, lettuce, and Parmesan cheese.","Add the chicken, lettuce, and Parmesan cheese.",0.5,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,1
