text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
o Scramble eggs in the same pan.,o Scramble eggs in the same pan.,"o Add noodles, fish sauce, tamarind paste, sugar, and lime juice, stir to combine.","o Add noodles, fish sauce, tamarind paste, sugar, and lime juice, stir to combine.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Add noodles, fish sauce, tamarind paste, sugar, and lime juice, stir to combine.","o Add noodles, fish sauce, tamarind paste, sugar, and lime juice, stir to combine.","o Add bean sprouts, cooked shrimp, and chopped green onions.","o Add bean sprouts, cooked shrimp, and chopped green onions.",1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
"o Add bean sprouts, cooked shrimp, and chopped green onions.","o Add bean sprouts, cooked shrimp, and chopped green onions.",o Garnish with crushed peanuts and serve.,o Garnish with crushed peanuts and serve.,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
o Garnish with crushed peanuts and serve.,o Garnish with crushed peanuts and serve.,Pajeon Pancakes,Pajeon (Pancakes),4.19,-54.02,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Pajeon Pancakes,Pajeon (Pancakes),Ingredients :,Ingredients:,0.6,36.02,0,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients :,Ingredients:,o 1 cup flour,o 1 cup flour,0.75,18,0,0,0,12,10.02,-1.98,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0
o 1 cup flour,o 1 cup flour,o 1 cup water,o 1 cup water,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 cup water,o 1 cup water,o 1 egg,o 1 egg,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 egg,o 1 egg,o 1/2 cup green onions,o 1/2 cup green onions,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 cup green onions,o 1/2 cup green onions,o 1/2 cup seafood optional,o 1/2 cup seafood (optional),1.01,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1/2 cup seafood optional,o 1/2 cup seafood (optional),o 1 tablespoon soy sauce,o 1 tablespoon soy sauce,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 tablespoon soy sauce,o 1 tablespoon soy sauce,o 1 tablespoon sesame oil,o 1 tablespoon sesame oil,1,0,1,0,0,10.02,10.02,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
o 1 tablespoon sesame oil,o 1 tablespoon sesame oil,Instructions :,Instructions:,0.85,-18,0,0,0,10.02,12,1.98,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
