text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
"The Ultimate South of France Travel Companion: Your Comprehensive Guide to Packing, Planning, and Exploring","[0, 0, 100, 20]",1,12.0,15,0,0.0465,0.0666666666666666,0.8,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Introduction,"[0, 0, 100, 20]",1,12.0,1,0,0.006,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Planning a trip to the South of France requires thoughtful preparation to ensure a comfortable and enjoyable experience. This guide covers everything from packing essentials to travel tips, catering to all seasons and various activities. Whether you're traveling solo, with kids, or in a group, this guide will help you make the most of your trip.","[0, 0, 100, 20]",1,12.0,56,0,0.146,0.1929824561403508,0.087719298245614,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
General Packing Tips and Tricks,"[0, 0, 100, 20]",2,12.0,5,0,0.0135,0.0,0.8,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Layering: The weather can vary, so pack layers to stay comfortable in different temperatures.","[0, 0, 100, 20]",2,12.0,14,0,0.04,0.2142857142857142,0.1428571428571428,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Versatile Clothing: Choose items that can be mixed and matched to create multiple outfits, helping you pack lighter.","[0, 0, 100, 20]",2,12.0,18,0,0.0495,0.2777777777777778,0.1666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Packing Cubes: Use packing cubes to organize your clothes and maximize suitcase space.,"[0, 0, 100, 20]",2,12.0,13,0,0.037,0.3076923076923077,0.2307692307692307,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Roll Your Clothes: Rolling clothes saves space and reduces wrinkles.,"[0, 0, 100, 20]",2,12.0,10,0,0.0295,0.1,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Travel-Sized Toiletries: Bring travel-sized toiletries to save space and comply with airline regulations.,"[0, 0, 100, 20]",2,12.0,13,0,0.0465,0.0769230769230769,0.2666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Reusable Bags: Pack a few reusable bags for laundry, shoes, or shopping.","[0, 0, 100, 20]",2,12.0,12,0,0.0305,0.0833333333333333,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"First Aid Kit: Include a small first aid kit with band-aids, antiseptic wipes, and any necessary medications.","[0, 0, 100, 20]",2,12.0,17,0,0.0465,0.0588235294117647,0.2222222222222222,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Copies of Important Documents: Make copies of your passport, travel insurance, and other important documents. Keep them separate from the originals.","[0, 0, 100, 20]",2,12.0,21,0,0.064,0.0476190476190476,0.238095238095238,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Portable Laundry Kit: A small laundry kit with detergent and a travel clothesline can be handy for longer trips.,"[0, 0, 100, 20]",2,12.0,19,0,0.047,0.0526315789473684,0.2105263157894736,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Multi-Purpose Shoes: Choose shoes that are comfortable for walking but can also be worn to a nice dinner.,"[0, 0, 100, 20]",2,12.0,18,0,0.044,0.2222222222222222,0.2105263157894736,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Travel Pillow and Blanket: A compact travel pillow and blanket can make long flights or train rides more comfortable.,"[0, 0, 100, 20]",2,12.0,19,0,0.0495,0.1052631578947368,0.2105263157894736,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Ziplock Bags: Use ziplock bags for liquids, snacks, or to keep items organized and protected from spills.","[0, 0, 100, 20]",2,12.0,17,0,0.0445,0.1764705882352941,0.1764705882352941,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"Emergency Contact List: Have a list of emergency contacts, including local embassy or consulate information.","[0, 0, 100, 20]",2,12.0,15,0,0.047,0.1333333333333333,0.2666666666666666,0,0,-20.0,0.0,1,0,0.0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
