text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
Comprehensive Guide to Restaurants and Hotels in the South of France,Comprehensive Guide to Restaurants and Hotels in the South of France,Introduction,Introduction,4.43,0.0,1,1,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Introduction,Introduction,"The South of France, known for its stunning landscapes, rich cultural heritage, and exquisite","The South of France, known for its stunning landscapes, rich cultural heritage, and exquisite",4.4,0.0,1,0,1,12.0,12.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"The South of France, known for its stunning landscapes, rich cultural heritage, and exquisite","The South of France, known for its stunning landscapes, rich cultural heritage, and exquisite","cuisine, is a dream destination for travelers. From the glamorous beaches of the French","cuisine, is a dream destination for travelers. From the glamorous beaches of the French",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"cuisine, is a dream destination for travelers. From the glamorous beaches of the French","cuisine, is a dream destination for travelers. From the glamorous beaches of the French","Riviera to the charming villages of Provence, this region offers a diverse array of experiences.","Riviera to the charming villages of Provence, this region oﬀers a diverse array of experiences.",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Riviera to the charming villages of Provence, this region offers a diverse array of experiences.","Riviera to the charming villages of Provence, this region oﬀers a diverse array of experiences.","Whether you're looking for budget-friendly options, family-friendly spots, upscale dining, or","Whether you're looking for budget-friendly options, family-friendly spots, upscale dining, or",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
"Whether you're looking for budget-friendly options, family-friendly spots, upscale dining, or","Whether you're looking for budget-friendly options, family-friendly spots, upscale dining, or","luxurious experiences, this guide will help you find the perfect restaurants and hotels for your","luxurious experiences, this guide will help you find the perfect restaurants and hotels for your",1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"luxurious experiences, this guide will help you find the perfect restaurants and hotels for your","luxurious experiences, this guide will help you find the perfect restaurants and hotels for your",trip.,trip.,1.0,0.0,1,1,0,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
Restaurants,Restaurants,Budget-Friendly Restaurants,Budget-Friendly Restaurants,4.43,0.0,1,0,0,12.0,12.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
Budget-Friendly Restaurants,Budget-Friendly Restaurants,"Chez Pipo Nice: Famous for its socca, a traditional Niçoise chickpea pancake, this","Chez Pipo (Nice): Famous for its socca, a traditional Niçoise chickpea pancake, this",4.4,36.0,0,0,1,12.0,12.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0
"Chez Pipo Nice: Famous for its socca, a traditional Niçoise chickpea pancake, this","Chez Pipo (Nice): Famous for its socca, a traditional Niçoise chickpea pancake, this",casual eatery offers delicious and affordable local dishes. The rustic ambiance and,casual eatery oﬀers delicious and aﬀordable local dishes. The rustic ambiance and,1.0,0.0,1,1,1,12.0,12.0,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
