text_a,text_b,normalized_vertical_gap,indentation_change,font_size_diff,same_font,line_a_ends_punctuation,line_b_starts_lowercase,same_alignment,is_centered_A,is_centered_B,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,label
Overview ,Foundation Level Extensions ,0.41,-113.3,0.0,1,0,0,1,1,1,0,0,0,1,
Foundation Level Extensions ,Version 1.0 ,1.59,136.34,-12.0,0,0,0,1,1,1,0,0,0,1,
Version 1.0 ,International Software Testing Qualifications Board ,1.0,-172.35,6.0,1,0,0,1,1,1,0,0,0,1,
International Software Testing Qualifications Board ,Copyright Notice ,2.38,-32.4,-8.04,1,0,0,0,1,0,0,0,0,1,
Copyright Notice ,"This document may be copied in its entirety, or extracts made, if the source is acknowledged. ",0.01,0.0,0.0,1,0,0,0,0,1,0,0,0,1,
Overview  International ,Software Testing ,-0.1,363.53,-2.04,1,0,0,0,1,0,0,0,0,1,
Software Testing ,Foundation Level Extension – Agile Tester  Qualifications  Board ,-0.06,-363.53,0.0,1,0,0,0,0,1,0,0,0,1,
Foundation Level Extension – Agile Tester  Qualifications  Board ,Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®). ,1.0,-3.48,0.0,1,0,0,0,1,0,0,0,0,1,
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®). ,"Version 2014  Page 2 of 12  May 31, 2014 ",12.34,5.64,0.0,0,1,0,0,0,1,0,0,0,1,
"Version 2014  Page 2 of 12  May 31, 2014 ",© International Software Testing Qualifications Board ,0.14,0.0,-3.96,0,0,0,0,1,0,0,0,0,1,
Overview  International ,Software Testing ,-4.03,363.53,-2.04,1,0,0,0,1,0,0,0,0,1,
Software Testing ,Foundation Level Extension – Agile Tester  Qualifications Board ,-2.37,-363.53,0.0,1,0,0,0,0,1,0,0,0,1,
Foundation Level Extension – Agile Tester  Qualifications Board ,Revision History ,30.27,-3.48,6.0,0,0,0,0,1,0,0,0,0,1,
Revision History ,Version  Date  Remarks ,10.64,3.48,-6.0,1,0,0,1,0,0,0,0,0,1,
Version  Date  Remarks ,0.1  18 JUNE 2013  Initial version ,1.05,0.0,0.0,0,0,0,1,0,0,0,1,0,0,
0.1  18 JUNE 2013  Initial version ,0.2  23 JULY 2013  WG reviewed and confirmed ,0.95,0.0,0.0,1,0,0,1,0,0,1,1,1,0,
0.2  23 JULY 2013  WG reviewed and confirmed ,0.3  6 NOV 2013  amended population and diagram ,0.95,0.0,0.0,1,0,0,1,0,0,1,1,1,0,
0.3  6 NOV 2013  amended population and diagram ,0.7  11 DEC 2013  Amended Business Outcomes and Chapters matching ,0.95,0.0,0.0,1,0,0,0,0,1,1,1,1,0,
0.7  11 DEC 2013  Amended Business Outcomes and Chapters matching ,0.8  20 DEC 2013  Working group updates on 0.7 ,0.95,0.0,0.0,1,0,0,0,1,0,1,1,1,0,
0.8  20 DEC 2013  Working group updates on 0.7 ,1.0  31 MAY 2014  GA release for Agile Extension ,0.95,0.0,0.0,1,0,0,1,0,0,1,1,1,0,
1.0  31 MAY 2014  GA release for Agile Extension ,"Version 2014  Page 3 of 12  May 31, 2014 ",414.0,2.16,0.0,0,0,0,0,0,1,1,0,0,0,
"Version 2014  Page 3 of 12  May 31, 2014 ",© International Software Testing Qualifications Board ,5.7,0.0,-3.96,0,0,0,0,1,0,0,0,0,1,
Overview  International ,Software Testing ,-0.76,363.53,-2.04,1,0,0,0,1,0,0,0,0,1,
Software Testing ,Foundation Level Extension – Agile Tester  Qualifications  Board ,-0.45,-363.53,0.0,1,0,0,0,0,1,0,0,0,1,
Foundation Level Extension – Agile Tester  Qualifications  Board ,Table of Contents ,5.75,-3.48,6.0,0,0,0,0,1,0,0,0,0,1,
Table of Contents ,Revision History  ..........................................................................................................................................  3 ,2.86,0.0,-6.0,1,0,0,0,0,1,0,0,0,1,
Revision History  ..........................................................................................................................................  3 ,Table of Contents  ........................................................................................................................................  4 ,1.0,-0.0,0.0,1,0,0,1,1,1,0,0,0,1,
Table of Contents  ........................................................................................................................................  4 ,1.  Introduction to the Foundation Level Extensions  ............................................................................  6 ,1.02,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
1.  Introduction to the Foundation Level Extensions  ............................................................................  6 ,2.  Introduction to Foundation Level Agile Tester Extension  ...............................................................  7 ,1.02,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
2.  Introduction to Foundation Level Agile Tester Extension  ...............................................................  7 ,2.1  Intended Audience  .....................................................................................................................  7 ,1.04,9.96,0.0,0,0,0,1,1,1,0,0,0,1,
2.1  Intended Audience  .....................................................................................................................  7 ,2.2  Career Paths for Testers  ............................................................................................................  7 ,0.07,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
2.2  Career Paths for Testers  ............................................................................................................  7 ,2.3  Learning Objectives  ...................................................................................................................  7 ,0.05,0.01,0.0,1,0,0,1,1,1,0,0,0,1,
2.3  Learning Objectives  ...................................................................................................................  7 ,2.4  Entry Requirements  ...................................................................................................................  8 ,0.07,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
2.4  Entry Requirements  ...................................................................................................................  8 ,2.5  Structure and Course Duration ...................................................................................................  8 ,0.07,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
2.5  Structure and Course Duration ...................................................................................................  8 ,2.6  Keeping It Current ......................................................................................................................  9 ,0.07,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
2.6  Keeping It Current ......................................................................................................................  9 ,3.  Overview of the Foundation Level Extension – Agile Tester Syllabus .........................................  10 ,1.0,-9.96,0.0,0,0,0,1,1,1,0,0,0,1,
3.  Overview of the Foundation Level Extension – Agile Tester Syllabus .........................................  10 ,3.1  Business Outcomes  .................................................................................................................  10 ,1.04,9.95,0.0,0,0,0,1,1,1,0,0,0,1,
3.1  Business Outcomes  .................................................................................................................  10 ,3.2  Content ....................................................................................................................................  10 ,0.05,0.0,0.0,1,0,0,1,1,1,0,0,0,1,
3.2  Content ....................................................................................................................................  10 ,4.  References  ..........................................................................................................................................  12 ,1.0,-9.96,0.0,0,0,0,1,1,1,0,0,0,1,
